amount,change,price,time,type,volume,xtim
744.0,--,26.58,2016-11-18 14:43:30,buy,0.0,2016-11-18 14:43:30
13290.0,--,26.58,2016-11-18 14:43:27,buy,5.0,2016-11-18 14:43:27
305670.0,--,26.58,2016-11-18 14:43:24,buy,115.0,2016-11-18 14:43:24
31895.0,--,26.58,2016-11-18 14:43:18,buy,12.0,2016-11-18 14:43:18
265800.0,--,26.58,2016-11-18 14:43:06,buy,100.0,2016-11-18 14:43:06
21264.0,--,26.58,2016-11-18 14:43:03,buy,8.0,2016-11-18 14:43:03
10632.0,0.01,26.58,2016-11-18 14:42:57,buy,4.0,2016-11-18 14:42:57
47826.0,-0.01,26.57,2016-11-18 14:42:54,sell,18.0,2016-11-18 14:42:54
2658.0,--,26.58,2016-11-18 14:42:45,buy,1.0,2016-11-18 14:42:45
26580.0,0.01,26.58,2016-11-18 14:42:30,buy,10.0,2016-11-18 14:42:30
265700.0,-0.01,26.57,2016-11-18 14:42:15,sell,100.0,2016-11-18 14:42:15
124925.0,--,26.58,2016-11-18 14:41:57,buy,47.0,2016-11-18 14:41:57
2658.0,--,26.58,2016-11-18 14:41:54,buy,1.0,2016-11-18 14:41:54
10632.0,0.01,26.58,2016-11-18 14:41:51,buy,4.0,2016-11-18 14:41:51
7971.0,-0.01,26.57,2016-11-18 14:41:39,sell,3.0,2016-11-18 14:41:39
13290.0,0.01,26.58,2016-11-18 14:41:36,buy,5.0,2016-11-18 14:41:36
15942.0,--,26.57,2016-11-18 14:41:30,sell,6.0,2016-11-18 14:41:30
34541.0,0.01,26.57,2016-11-18 14:41:27,buy,13.0,2016-11-18 14:41:27
79680.0,-0.01,26.56,2016-11-18 14:41:21,sell,30.0,2016-11-18 14:41:21
13285.0,--,26.57,2016-11-18 14:41:18,buy,5.0,2016-11-18 14:41:18
26570.0,--,26.57,2016-11-18 14:41:15,buy,10.0,2016-11-18 14:41:15
29227.0,0.01,26.57,2016-11-18 14:41:12,buy,11.0,2016-11-18 14:41:12
53120.0,--,26.56,2016-11-18 14:41:09,sell,20.0,2016-11-18 14:41:09
166371.0,-0.01,26.56,2016-11-18 14:41:00,sell,62.0,2016-11-18 14:41:00
18599.0,--,26.57,2016-11-18 14:40:54,sell,7.0,2016-11-18 14:40:54
53140.0,-0.01,26.57,2016-11-18 14:40:48,sell,20.0,2016-11-18 14:40:48
21264.0,0.01,26.58,2016-11-18 14:40:42,buy,8.0,2016-11-18 14:40:42
53140.0,-0.01,26.57,2016-11-18 14:40:36,norm,20.0,2016-11-18 14:40:36
26580.0,0.01,26.58,2016-11-18 14:40:15,buy,10.0,2016-11-18 14:40:15
209903.0,-0.01,26.57,2016-11-18 14:40:12,sell,79.0,2016-11-18 14:40:12
5316.0,--,26.58,2016-11-18 14:40:09,buy,2.0,2016-11-18 14:40:09
7973.0,--,26.58,2016-11-18 14:40:03,buy,3.0,2016-11-18 14:40:03
2658.0,--,26.58,2016-11-18 14:40:00,buy,1.0,2016-11-18 14:40:00
725634.0,-0.01,26.58,2016-11-18 14:39:48,sell,273.0,2016-11-18 14:39:48
212720.0,--,26.59,2016-11-18 14:39:36,sell,80.0,2016-11-18 14:39:36
2659.0,-0.01,26.59,2016-11-18 14:39:30,sell,1.0,2016-11-18 14:39:30
266000.0,--,26.6,2016-11-18 14:39:09,buy,100.0,2016-11-18 14:39:09
13300.0,--,26.6,2016-11-18 14:39:03,buy,5.0,2016-11-18 14:39:03
133000.0,--,26.6,2016-11-18 14:39:00,buy,50.0,2016-11-18 14:39:00
26600.0,0.01,26.6,2016-11-18 14:38:57,buy,10.0,2016-11-18 14:38:57
26590.0,-0.01,26.59,2016-11-18 14:38:54,sell,10.0,2016-11-18 14:38:54
13300.0,--,26.6,2016-11-18 14:38:39,buy,5.0,2016-11-18 14:38:39
80757.0,-0.01,26.6,2016-11-18 14:38:36,sell,30.0,2016-11-18 14:38:36
53220.0,0.01,26.61,2016-11-18 14:38:21,buy,20.0,2016-11-18 14:38:21
53200.0,-0.01,26.6,2016-11-18 14:38:15,sell,20.0,2016-11-18 14:38:15
77169.0,--,26.61,2016-11-18 14:38:06,sell,29.0,2016-11-18 14:38:06
53220.0,--,26.61,2016-11-18 14:38:00,sell,20.0,2016-11-18 14:38:00
180948.0,0.01,26.61,2016-11-18 14:37:57,norm,68.0,2016-11-18 14:37:57
13300.0,--,26.6,2016-11-18 14:37:33,sell,5.0,2016-11-18 14:37:33
21280.0,--,26.6,2016-11-18 14:37:30,sell,8.0,2016-11-18 14:37:30
47880.0,--,26.6,2016-11-18 14:37:27,sell,18.0,2016-11-18 14:37:27
129382.0,--,26.6,2016-11-18 14:37:06,buy,48.0,2016-11-18 14:37:06
23940.0,--,26.6,2016-11-18 14:37:03,buy,9.0,2016-11-18 14:37:03
42560.0,--,26.6,2016-11-18 14:36:42,buy,16.0,2016-11-18 14:36:42
83417.0,--,26.6,2016-11-18 14:36:39,sell,31.0,2016-11-18 14:36:39
7980.0,--,26.6,2016-11-18 14:36:36,sell,3.0,2016-11-18 14:36:36
50540.0,-0.02,26.6,2016-11-18 14:36:33,sell,19.0,2016-11-18 14:36:33
2662.0,0.02,26.62,2016-11-18 14:36:18,buy,1.0,2016-11-18 14:36:18
7980.0,--,26.6,2016-11-18 14:36:15,sell,3.0,2016-11-18 14:36:15
18620.0,--,26.6,2016-11-18 14:36:09,sell,7.0,2016-11-18 14:36:09
2660.0,--,26.6,2016-11-18 14:36:06,sell,1.0,2016-11-18 14:36:06
13300.0,--,26.6,2016-11-18 14:35:54,sell,5.0,2016-11-18 14:35:54
26600.0,--,26.6,2016-11-18 14:35:48,sell,10.0,2016-11-18 14:35:48
